Arsenal,Crystal Palace,2,1
Arsenal,Crystal Palace,2,1
Leicester City,Everton,2,2
Manchester United,Swansea City,1,2
Queens Park Rangers,Hull City,0,1
Stoke City,Aston Villa,0,1
West Bromwich Albion,Sunderland,2,2
West Ham United,Tottenham Hotspur,0,1
Liverpool,Southampton,2,1
Newcastle United,Manchester City,0,2
Burnley,Chelsea,1,3
Aston Villa,Newcastle United,0,0
Chelsea,Leicester City,2,0
Crystal Palace,West Ham United,1,3
Everton,Arsenal,2,2
Southampton,West Bromwich Albion,0,0
Swansea City,Burnley,1,0
Hull City,Stoke City,1,1
Sunderland,Manchester United,1,1
Tottenham Hotspur,Queens Park Rangers,4,0
Manchester City,Liverpool,3,1
Burnley,Manchester United,0,0
Everton,Chelsea,3,6
Manchester City,Stoke City,0,1
Newcastle United,Crystal Palace,3,3
Queens Park Rangers,Sunderland,1,0
Swansea City,West Bromwich Albion,3,0
West Ham United,Southampton,1,3
Aston Villa,Hull City,2,1
Leicester City,Arsenal,1,1
Tottenham Hotspur,Liverpool,0,3
Arsenal,Manchester City,2,2
Chelsea,Swansea City,4,2
Crystal Palace,Burnley,0,0
Liverpool,Aston Villa,0,1
Southampton,Newcastle United,4,0
Stoke City,Leicester City,0,1
Sunderland,Tottenham Hotspur,2,2
West Bromwich Albion,Everton,0,2
Manchester United,Queens Park Rangers,4,0
Hull City,West Ham United,2,2
Aston Villa,Arsenal,0,3
Burnley,Sunderland,0,0
Newcastle United,Hull City,2,2
Queens Park Rangers,Stoke City,2,2
Swansea City,Southampton,0,1
West Ham United,Liverpool,3,1
Everton,Crystal Palace,2,3
Leicester City,Manchester United,5,3
Manchester City,Chelsea,1,1
Tottenham Hotspur,West Bromwich Albion,0,1
